,elst10,exch10,exch10_s2,ind20,exch_ind20,disp20,exch_disp20,hf,_mp2
2.875,-7.947523223317265e-05,5.8050982783637425e-05,5.804884036548153e-05,-1.2372827014896236e-06,1.113849605964298e-06,-4.6918155344065506e-05,7.332282805117672e-07,4.541720999373666e-05,-2.939948958768923e-05
3.0,-7.732044396091542e-05,3.255293609765896e-05,3.255225154962537e-05,-6.462900199378171e-07,5.786223447664688e-07,-3.593447145187639e-05,4.037317565690702e-07,2.559313465377855e-05,-3.5875997333789655e-05
3.125,-7.561397387845226e-05,1.814300853069009e-05,1.8142790696741602e-05,-3.434769580840818e-07,3.0191468362434817e-07,-2.7834511565225248e-05,2.1839644640733618e-07,1.4307015898662456e-05,-3.532092320224223e-05
3.25,-7.369610728269471e-05,1.0048162836823763e-05,1.004809370462166e-05,-1.8603725205481264e-07,1.5791430702867675e-07,-2.1797708127680854e-05,1.1712409115991724e-07,7.932548665046113e-06,-3.160369936239249e-05
3.375,-7.14069790812566e-05,5.535042519585536e-06,5.53502059362288e-06,-1.0289647024573017e-07,8.270974127823885e-08,-1.7248801336947022e-05,6.312991464456477e-08,4.365929997529605e-06,-2.693757529570462e-05
3.5,-6.881074580111779e-05,3.0388797520585885e-06,3.03887278324984e-06,-5.823942866679165e-08,4.340069395708465e-08,-1.3782695756341613e-05,3.4793887444566064e-08,2.3896501515352497e-06,-2.2431243276166413e-05
3.75,-6.323668527741244e-05,9.185803970242246e-07,9.185796790755087e-07,-2.0025069830067623e-08,1.2127837515328263e-08,-9.033976532765746e-06,1.1982857352238948e-08,7.118159550678627e-07,-1.52619640916285e-05
4.0,-5.787864064510373e-05,2.8542609991560076e-07,2.854260225380635e-07,-7.371925732584003e-09,3.524604570687241e-09,-6.103430449160362e-06,4.8850736819472355e-09,2.1490760282460997e-07,-1.0399547935691089e-05
4.5,-4.911297425364003e-05,3.19717256489823e-08,3.197172464612333e-08,-9.56955974995232e-10,3.3576228022861944e-10,-2.9970008663090364e-06,8.74471585822809e-10,2.229141982112992e-08,-4.792797643204949e-06
5.0,-4.273014881867043e-05,4.011073356693869e-09,4.011073346787201e-09,-9.311223090224685e-11,3.308842563851289e-11,-1.5900792545402077e-06,1.158684093270505e-10,2.5777122658610097e-09,-2.2318536991861038e-06
6.0,-3.418001774119217e-05,4.7968853445908324e-12,4.7968853463126735e-12,-9.571490846484979e-12,1.397335988107766e-12,-5.320756901123159e-07,4.455817471564273e-12,-1.0154943552720397e-10,-5.919759979988726e-07
7.0,-2.863516173368108e-05,-1.9059767022197146e-12,-1.905976699876106e-12,-2.662888539448804e-12,9.553071499845441e-14,-2.1098196640225813e-07,3.4593993422868213e-13,-8.138378859712248e-12,-2.1517673776116908e-07
8.0,-2.470395044035234e-05,-2.881162008423386e-14,-2.881161251265665e-14,-1.5998828915361098e-12,1.7686982560614585e-15,-9.468676851361885e-08,6.5293486129233266e-15,-1.3589129821411916e-13,-9.603925033019323e-08
9.0,-2.1753752474817922e-05,-1.0802568066760819e-16,-1.0802570349271138e-16,-1.2309623750373223e-12,7.47347683432972e-18,-4.6706143647469044e-08,2.519198228958242e-17,3.9968028886505635e-15,-4.7726163465711124e-08
10.0,-1.945008746986887e-05,7.943394468503639e-19,7.941966520241095e-19,-9.826538871202953e-13,1.0610839844072819e-21,-2.4821559937607256e-08,7.06510341603304e-21,-1.3322676295501878e-15,-2.5639422140955048e-08
